,Points,Score,Weigh,,,Points,Mean,Deviation point,Sqaure root,,Score,Mean,Deviation point,Sqaure root,,,Weigh,Mean,Deviation point,Sqaure root,,,Points,Score,Weigh
Mazda RX4,3.9,2.62,16.46,,Valiant,2.76,3.5965625,-0.8365625,0.699836816,,1.513,3.21725,-1.70425,2.904468063,,,14.5,17.84875,-3.34875,11.21412656,,Mean,3.5965625,3.21725,17.84875
Mazda RX4 Wag,3.9,2.875,17.02,,Dodge Challenger,2.76,3.5965625,-0.8365625,0.699836816,,1.615,3.21725,-1.60225,2.567205063,,,14.6,17.84875,-3.24875,10.55437656,,Median,3.695,3.325,17.71
Datsun 710,3.85,2.32,18.61,,Cadillac Fleetwood,2.93,3.5965625,-0.6665625,0.444305566,,1.835,3.21725,-1.38225,1.910615063,,,15.41,17.84875,-2.43875,5.947501563,,Mode,3.9,3.44,17.02
Hornet 4 Drive,3.08,3.215,19.44,,Lincoln Continental,3,3.5965625,-0.5965625,0.355886816,,1.935,3.21725,-1.28225,1.644165063,,,15.5,17.84875,-2.34875,5.516626563,,Variance,0.285881351,0.957378968,3.193166129
Hornet Sportabout,3.15,3.44,17.02,,Merc 450SE,3.07,3.5965625,-0.5265625,0.277268066,,2.14,3.21725,-1.07725,1.160467563,,,15.84,17.84875,-2.00875,4.035076563,,Standard Deviation,0.534678736,0.978457443,1.786943236
Valiant,2.76,3.46,20.22,,Merc 450SL,3.07,3.5965625,-0.5265625,0.277268066,,2.2,3.21725,-1.01725,1.034797563,,,16.46,17.84875,-1.38875,1.928626563,,Range,4.93-2.76,5.424-1.513,22.9-14.5
Duster 360,3.21,3.57,15.84,,Merc 450SLC,3.07,3.5965625,-0.5265625,0.277268066,,2.32,3.21725,-0.89725,0.805057563,,,16.7,17.84875,-1.14875,1.319626563,,Range,2.17,3.911,8.4
Merc 240D,3.69,3.19,20,,Hornet 4 Drive,3.08,3.5965625,-0.5165625,0.266836816,,2.465,3.21725,-0.75225,0.565880063,,,16.87,17.84875,-0.97875,0.957951563,,,,,
Merc 230,3.92,3.15,22.9,,Pontiac Firebird,3.08,3.5965625,-0.5165625,0.266836816,,2.62,3.21725,-0.59725,0.356707563,,,16.9,17.84875,-0.94875,0.900126563,,,,,
Merc 280,3.92,3.44,18.3,,Hornet Sportabout,3.15,3.5965625,-0.4465625,0.199418066,,2.77,3.21725,-0.44725,0.200032563,,,17.02,17.84875,-0.82875,0.686826563,,,,,
Merc 280C,3.92,3.44,18.9,,AMC Javelin,3.15,3.5965625,-0.4465625,0.199418066,,2.78,3.21725,-0.43725,0.191187563,,,17.02,17.84875,-0.82875,0.686826563,,,,,
Merc 450SE,3.07,4.07,17.4,,Duster 360,3.21,3.5965625,-0.3865625,0.149430566,,2.875,3.21725,-0.34225,0.117135063,,,17.05,17.84875,-0.79875,0.638001563,,,,,
Merc 450SL,3.07,3.73,17.6,,Chrysler Imperial,3.23,3.5965625,-0.3665625,0.134368066,,3.15,3.21725,-0.06725,0.004522563,,,17.3,17.84875,-0.54875,0.301126563,,,,,
Merc 450SLC,3.07,3.78,18,,Maserati Bora,3.54,3.5965625,-0.0565625,0.003199316,,3.17,3.21725,-0.04725,0.002232563,,,17.4,17.84875,-0.44875,0.201376563,,,,,
Cadillac Fleetwood,2.93,5.25,17.98,,Ferrari Dino,3.62,3.5965625,0.0234375,0.000549316,,3.19,3.21725,-0.02725,0.000742563,,,17.42,17.84875,-0.42875,0.183826563,,,,,
Lincoln Continental,3,5.424,17.82,,Merc 240D,3.69,3.5965625,0.0934375,0.008730566,,3.215,3.21725,-0.00225,5.0625E-06,,,17.6,17.84875,-0.24875,0.061876563,,,,,
Chrysler Imperial,3.23,5.345,17.42,,Toyota Corona,3.7,3.5965625,0.1034375,0.010699316,,3.435,3.21725,0.21775,0.047415063,,,17.82,17.84875,-0.02875,0.000826563,,,,,
Fiat 128,4.08,2.2,19.47,,Camaro Z28,3.73,3.5965625,0.1334375,0.017805566,,3.44,3.21725,0.22275,0.049617563,,,17.98,17.84875,0.13125,0.017226562,,,,,
Honda Civic,4.93,1.615,18.52,,Lotus Europa,3.77,3.5965625,0.1734375,0.030080566,,3.44,3.21725,0.22275,0.049617563,,,18,17.84875,0.15125,0.022876562,,,,,
Toyota Corolla,4.22,1.835,19.9,,Datsun 710,3.85,3.5965625,0.2534375,0.064230566,,3.44,3.21725,0.22275,0.049617563,,,18.3,17.84875,0.45125,0.203626562,,,,,
Toyota Corona,3.7,2.465,20.01,,Mazda RX4,3.9,3.5965625,0.3034375,0.092074316,,3.46,3.21725,0.24275,0.058927563,,,18.52,17.84875,0.67125,0.450576562,,,,,
Dodge Challenger,2.76,3.52,16.87,,Mazda RX4 Wag,3.9,3.5965625,0.3034375,0.092074316,,3.52,3.21725,0.30275,0.091657563,,,18.6,17.84875,0.75125,0.564376562,,,,,
AMC Javelin,3.15,3.435,17.3,,Merc 230,3.92,3.5965625,0.3234375,0.104611816,,3.57,3.21725,0.35275,0.124432563,,,18.61,17.84875,0.76125,0.579501562,,,,,
Camaro Z28,3.73,3.84,15.41,,Merc 280,3.92,3.5965625,0.3234375,0.104611816,,3.57,3.21725,0.35275,0.124432563,,,18.9,17.84875,1.05125,1.105126562,,,,,
Pontiac Firebird,3.08,3.845,17.05,,Merc 280C,3.92,3.5965625,0.3234375,0.104611816,,3.73,3.21725,0.51275,0.262912563,,,18.9,17.84875,1.05125,1.105126562,,,,,
Fiat X1-9,4.08,1.935,18.9,,Fiat 128,4.08,3.5965625,0.4834375,0.233711816,,3.78,3.21725,0.56275,0.316687563,,,19.44,17.84875,1.59125,2.532076563,,,,,
Porsche 914-2,4.43,2.14,16.7,,Fiat X1-9,4.08,3.5965625,0.4834375,0.233711816,,3.84,3.21725,0.62275,0.387817563,,,19.47,17.84875,1.62125,2.628451562,,,,,
Lotus Europa,3.77,1.513,16.9,,Volvo 142E,4.11,3.5965625,0.5134375,0.263618066,,3.845,3.21725,0.62775,0.394070063,,,19.9,17.84875,2.05125,4.207626562,,,,,
Ford Pantera L,4.22,3.17,14.5,,Toyota Corolla,4.22,3.5965625,0.6234375,0.388674316,,4.07,3.21725,0.85275,0.727182563,,,20,17.84875,2.15125,4.627876562,,,,,
Ferrari Dino,3.62,2.77,15.5,,Ford Pantera L,4.22,3.5965625,0.6234375,0.388674316,,5.25,3.21725,2.03275,4.132072563,,,20.01,17.84875,2.16125,4.671001563,,,,,
Maserati Bora,3.54,3.57,14.6,,Porsche 914-2,4.43,3.5965625,0.8334375,0.694618066,,5.345,3.21725,2.12775,4.527320063,,,20.22,17.84875,2.37125,5.622826562,,,,,
Volvo 142E,4.11,2.78,18.6,,Honda Civic,4.93,3.5965625,1.3334375,1.778055566,,5.424,3.21725,2.20675,4.869745563,,,22.9,17.84875,5.05125,25.51512656,,,,,
,,,,,,,,,,,,,sum,29.678748,,,,,,,,,,,
,,,,,,,,,,,,,n-1,31,,,,,sum,98.98815,,,,,
,,,,,,,,,,,,,,,,,,,n-1,31,,,,,
,,,,,,,,,,,,,,,,,,,Variance,3.193166129,,,,,
,,,,,,,,sum,8.862321875,Mean,3.21725,,,,,,,,Standard Deviation,1.786943236,,,,,
,,,,,,,,n-1,31,Median,3.325,,,,,,,,,,,,,,
,,,,,,,,Variance,0.285881351,Mode,3.44,,,,,,,,,,,,,,
,,,,,,,,Standard Deviation,0.534678736,Variance,0.957378968,,,,,,,,,,,,,,
,,,,,,,,,,Standard Deviation,0.978457443,,,,,,,,,,,,,,
,,,,,,,,,,Range,,,,,,,,,,,,,,,
,,,,,,,,,,Range,,,,,,,,,,,,,,,
